trial_number,block_number,prior_face,gaze_face,target_location,congruency,response,correct,response_time
1,1,2,2,2,1,2,1,374
2,1,1,2,1,2,1,1,384
3,1,2,2,1,2,1,1,402
4,1,2,1,1,1,1,1,379
5,1,2,1,2,2,2,1,405
6,1,2,2,2,1,2,1,374
7,1,1,1,1,1,1,1,484
8,1,1,1,2,2,2,1,461
9,1,2,1,2,2,2,1,462
10,1,2,1,1,1,1,1,322
11,1,1,2,1,2,1,1,479
12,1,2,2,1,2,1,1,476
13,1,1,1,2,2,2,1,385
14,1,1,1,1,1,1,1,490
15,1,1,1,2,2,2,1,474
16,1,1,2,2,1,2,1,381
17,1,2,2,2,1,2,1,493
18,1,1,1,1,1,1,1,646
19,1,2,1,2,2,2,1,786
20,1,1,2,2,1,2,1,447
21,1,2,2,1,2,1,1,362
22,1,1,2,2,1,2,1,709
23,1,1,2,1,2,1,1,699
24,1,2,1,1,1,1,1,388
