trial_number,block_number,prior_face,gaze_face,target_location,congruency,response,correct,response_time
1,1,2,1,2,2,2.0,1.0,524.0
2,1,1,2,2,1,2.0,1.0,314.0
3,1,2,1,2,2,2.0,1.0,348.0
4,1,1,2,1,2,1.0,1.0,849.0
5,1,1,1,2,2,1.0,0.0,469.0
6,1,1,1,1,1,1.0,1.0,399.0
7,1,1,2,2,1,2.0,1.0,134.0
8,1,2,2,1,2,1.0,1.0,642.0
9,1,2,1,1,1,1.0,1.0,521.0
10,1,1,2,1,2,1.0,1.0,431.0
11,1,1,1,2,2,2.0,1.0,489.0
12,1,2,1,2,2,2.0,1.0,433.0
13,1,1,1,1,1,1.0,1.0,359.0
14,1,2,1,1,1,1.0,1.0,473.0
15,1,2,2,2,1,2.0,1.0,386.0
16,1,1,1,1,1,1.0,1.0,318.0
17,1,2,2,2,1,,,
