trial_number,block_number,prior_face,gaze_face,target_location,congruency,response,correct,response_time
1,1,2,1,1,1,1,1,441
2,1,1,2,2,1,2,1,329
3,1,1,2,1,2,1,1,591
4,1,1,1,1,1,1,1,416
5,1,1,2,2,1,2,1,385
6,1,2,1,1,1,1,1,489
7,1,2,1,1,1,1,1,398
8,1,2,2,2,1,2,1,342
9,1,2,1,2,2,2,1,446
10,1,1,1,2,2,2,1,473
11,1,2,1,2,2,2,1,405
12,1,2,2,2,1,2,1,403
13,1,1,2,1,2,1,1,522
14,1,2,1,2,2,2,1,711
15,1,1,2,1,2,1,1,612
16,1,2,2,1,2,1,1,586
17,1,1,2,2,1,2,1,574
18,1,2,2,2,1,2,1,539
19,1,1,1,2,2,2,1,696
20,1,2,2,1,2,1,1,913
21,1,1,1,1,1,1,1,823
22,1,2,2,1,2,1,1,640
23,1,1,1,1,1,1,1,455
24,1,1,1,2,2,2,1,547
