trial_number,block_number,prior_face,gaze_face,target_location,congruency,response,correct,response_time
1,1,2,1,2,2,2.0,1.0,686.0
2,1,1,2,2,1,2.0,1.0,337.0
3,1,2,1,2,2,2.0,1.0,326.0
4,1,1,1,1,1,1.0,1.0,314.0
5,1,1,2,2,1,2.0,1.0,306.0
6,1,1,1,2,2,2.0,1.0,285.0
7,1,2,1,1,1,1.0,1.0,327.0
8,1,1,1,1,1,1.0,1.0,325.0
9,1,2,1,2,2,2.0,1.0,342.0
10,1,1,2,1,2,1.0,1.0,325.0
11,1,2,2,1,2,1.0,1.0,348.0
12,1,2,1,1,1,1.0,1.0,342.0
13,1,2,1,1,1,1.0,1.0,330.0
14,1,1,2,1,2,1.0,1.0,449.0
15,1,2,2,2,1,2.0,1.0,300.0
16,1,1,2,1,2,1.0,1.0,275.0
17,1,1,1,2,2,2.0,1.0,309.0
18,1,2,2,2,1,2.0,1.0,318.0
19,1,2,2,1,2,1.0,1.0,439.0
20,1,1,2,2,1,2.0,1.0,334.0
21,1,2,2,1,2,1.0,1.0,353.0
22,1,2,2,2,1,2.0,1.0,307.0
23,1,1,1,1,1,1.0,1.0,291.0
24,1,1,1,2,2,2.0,1.0,298.0
25,2,2,1,1,1,1.0,1.0,354.0
26,2,2,1,2,2,2.0,1.0,363.0
27,2,1,2,1,2,1.0,1.0,278.0
28,2,1,1,2,2,2.0,1.0,318.0
29,2,1,1,1,1,1.0,1.0,368.0
30,2,1,2,1,2,1.0,1.0,372.0
31,2,2,1,1,1,1.0,1.0,347.0
32,2,2,2,1,2,1.0,1.0,347.0
33,2,2,2,1,2,1.0,1.0,344.0
34,2,2,1,1,1,1.0,1.0,735.0
35,2,1,2,2,1,2.0,1.0,341.0
36,2,1,2,1,2,1.0,1.0,312.0
37,2,1,1,1,1,1.0,1.0,311.0
38,2,1,1,2,2,2.0,1.0,350.0
39,2,2,2,2,1,2.0,1.0,365.0
40,2,1,2,2,1,2.0,1.0,331.0
41,2,2,2,2,1,2.0,1.0,350.0
42,2,1,1,2,2,2.0,1.0,371.0
43,2,1,2,2,1,2.0,1.0,285.0
44,2,1,1,1,1,1.0,1.0,308.0
45,2,2,2,2,1,2.0,1.0,411.0
46,2,2,1,2,2,2.0,1.0,330.0
47,2,2,2,1,2,1.0,1.0,337.0
48,2,2,1,2,2,2.0,1.0,350.0
49,3,1,1,1,1,1.0,1.0,315.0
50,3,1,1,1,1,1.0,1.0,304.0
51,3,1,2,1,2,1.0,1.0,337.0
52,3,1,2,1,2,1.0,1.0,321.0
53,3,2,1,2,2,2.0,1.0,342.0
54,3,2,2,2,1,2.0,1.0,353.0
55,3,2,1,1,1,1.0,1.0,370.0
56,3,2,2,1,2,1.0,1.0,357.0
57,3,1,2,2,1,2.0,1.0,411.0
58,3,1,1,2,2,2.0,1.0,363.0
59,3,2,2,1,2,1.0,1.0,388.0
60,3,1,1,2,2,2.0,1.0,366.0
61,3,1,1,2,2,2.0,1.0,372.0
62,3,2,2,1,2,1.0,1.0,353.0
63,3,2,2,2,1,2.0,1.0,391.0
64,3,2,1,2,2,2.0,1.0,393.0
65,3,2,1,1,1,1.0,1.0,530.0
66,3,2,1,2,2,2.0,1.0,365.0
67,3,1,2,1,2,1.0,1.0,310.0
68,3,1,1,1,1,1.0,1.0,301.0
69,3,1,2,2,1,2.0,1.0,303.0
70,3,1,2,2,1,2.0,1.0,346.0
71,3,2,1,1,1,1.0,1.0,342.0
72,3,2,2,2,1,2.0,1.0,260.0
73,4,1,1,1,1,1.0,1.0,371.0
74,4,1,1,2,2,2.0,1.0,345.0
75,4,1,2,1,2,1.0,1.0,316.0
76,4,1,1,1,1,1.0,1.0,314.0
77,4,2,1,2,2,2.0,1.0,364.0
78,4,2,2,1,2,1.0,1.0,356.0
79,4,2,1,1,1,1.0,1.0,353.0
80,4,1,1,2,2,2.0,1.0,333.0
81,4,2,1,1,1,1.0,1.0,357.0
82,4,1,2,1,2,1.0,1.0,367.0
83,4,1,2,2,1,2.0,1.0,379.0
84,4,1,2,2,1,2.0,1.0,366.0
85,4,2,2,2,1,2.0,1.0,378.0
86,4,2,1,2,2,2.0,1.0,349.0
87,4,1,1,1,1,1.0,1.0,309.0
88,4,2,1,1,1,1.0,1.0,341.0
89,4,2,2,2,1,2.0,1.0,261.0
90,4,2,2,1,2,1.0,1.0,373.0
91,4,2,1,2,2,2.0,1.0,320.0
92,4,2,2,1,2,1.0,1.0,382.0
93,4,1,1,2,2,2.0,1.0,353.0
94,4,1,2,2,1,2.0,1.0,384.0
95,4,1,2,1,2,1.0,1.0,422.0
96,4,2,2,2,1,2.0,1.0,378.0
97,5,1,1,2,2,2.0,1.0,381.0
98,5,2,2,2,1,2.0,1.0,357.0
99,5,1,2,1,2,1.0,1.0,395.0
100,5,1,1,2,2,2.0,1.0,350.0
101,5,2,1,2,2,2.0,1.0,372.0
102,5,1,2,2,1,2.0,1.0,418.0
103,5,1,2,1,2,1.0,1.0,411.0
104,5,2,2,1,2,1.0,1.0,416.0
105,5,2,2,2,1,2.0,1.0,383.0
106,5,1,2,2,1,2.0,1.0,524.0
107,5,2,2,1,2,1.0,1.0,950.0
108,5,1,2,1,2,1.0,1.0,419.0
109,5,2,2,1,2,1.0,1.0,423.0
110,5,1,1,1,1,1.0,1.0,408.0
111,5,1,1,1,1,1.0,1.0,392.0
112,5,1,1,1,1,1.0,1.0,403.0
113,5,2,2,2,1,2.0,1.0,352.0
114,5,2,1,1,1,1.0,1.0,378.0
115,5,2,1,1,1,1.0,1.0,389.0
116,5,1,2,2,1,2.0,1.0,364.0
117,5,2,1,1,1,1.0,1.0,381.0
118,5,2,1,2,2,2.0,1.0,412.0
119,5,1,1,2,2,2.0,1.0,367.0
120,5,2,1,2,2,2.0,1.0,427.0
121,6,2,2,1,2,1.0,1.0,406.0
122,6,2,2,2,1,2.0,1.0,414.0
123,6,1,2,1,2,1.0,1.0,423.0
124,6,1,1,1,1,1.0,1.0,389.0
125,6,1,2,1,2,1.0,1.0,435.0
126,6,1,2,2,1,,,
127,6,1,1,2,2,2.0,1.0,413.0
128,6,2,1,1,1,1.0,1.0,420.0
129,6,1,1,1,1,1.0,1.0,346.0
130,6,2,1,2,2,2.0,1.0,394.0
131,6,1,1,1,1,1.0,1.0,385.0
132,6,2,2,2,1,2.0,1.0,357.0
133,6,1,2,2,1,2.0,1.0,326.0
134,6,2,1,1,1,1.0,1.0,395.0
135,6,1,1,2,2,2.0,1.0,308.0
136,6,2,2,2,1,2.0,1.0,430.0
137,6,2,1,2,2,2.0,1.0,370.0
138,6,1,2,2,1,2.0,1.0,395.0
139,6,1,2,1,2,1.0,1.0,427.0
140,6,2,1,2,2,2.0,1.0,390.0
141,6,2,2,1,2,1.0,1.0,432.0
142,6,1,1,2,2,2.0,1.0,356.0
143,6,2,1,1,1,1.0,1.0,396.0
144,6,2,2,1,2,1.0,1.0,470.0
145,7,2,1,2,2,2.0,1.0,348.0
146,7,1,2,1,2,1.0,1.0,344.0
147,7,1,2,2,1,2.0,1.0,347.0
148,7,2,2,2,1,2.0,1.0,375.0
149,7,1,1,2,2,2.0,1.0,356.0
150,7,1,1,1,1,1.0,1.0,355.0
151,7,2,2,1,2,1.0,1.0,386.0
152,7,2,2,1,2,1.0,1.0,424.0
153,7,2,1,1,1,1.0,1.0,422.0
154,7,2,1,1,1,1.0,1.0,455.0
155,7,2,2,2,1,2.0,1.0,319.0
156,7,1,1,1,1,1.0,1.0,333.0
157,7,1,1,2,2,2.0,1.0,324.0
158,7,1,2,2,1,2.0,1.0,292.0
159,7,2,2,2,1,2.0,1.0,379.0
160,7,2,2,1,2,1.0,1.0,321.0
161,7,1,2,1,2,1.0,1.0,337.0
162,7,2,1,1,1,1.0,1.0,470.0
163,7,2,1,2,2,2.0,1.0,325.0
164,7,2,1,2,2,2.0,1.0,396.0
165,7,1,2,2,1,2.0,1.0,333.0
166,7,1,2,1,2,1.0,1.0,359.0
167,7,1,1,1,1,1.0,1.0,349.0
168,7,1,1,2,2,2.0,1.0,315.0
169,8,1,1,2,2,2.0,1.0,358.0
170,8,1,2,2,1,2.0,1.0,321.0
171,8,2,1,2,2,2.0,1.0,334.0
172,8,1,2,2,1,2.0,1.0,299.0
173,8,1,1,2,2,2.0,1.0,328.0
174,8,2,2,2,1,2.0,1.0,294.0
175,8,1,1,1,1,1.0,1.0,445.0
176,8,2,1,2,2,2.0,1.0,319.0
177,8,1,2,1,2,1.0,1.0,298.0
178,8,2,2,2,1,2.0,1.0,363.0
179,8,2,2,1,2,1.0,1.0,401.0
180,8,2,1,1,1,1.0,1.0,330.0
181,8,2,2,2,1,2.0,1.0,304.0
182,8,1,2,1,2,1.0,1.0,330.0
183,8,2,1,1,1,1.0,1.0,335.0
184,8,2,1,1,1,1.0,1.0,349.0
185,8,1,1,1,1,1.0,1.0,342.0
186,8,1,1,2,2,2.0,1.0,363.0
187,8,1,2,2,1,2.0,1.0,359.0
188,8,2,1,2,2,2.0,1.0,391.0
189,8,1,1,1,1,1.0,1.0,418.0
190,8,2,2,1,2,1.0,1.0,344.0
191,8,2,2,1,2,1.0,1.0,369.0
192,8,1,2,1,2,1.0,1.0,484.0
193,9,2,1,2,2,2.0,1.0,312.0
194,9,1,1,2,2,2.0,1.0,314.0
195,9,1,2,1,2,1.0,1.0,285.0
196,9,2,2,1,2,1.0,1.0,320.0
197,9,1,2,2,1,2.0,1.0,320.0
198,9,1,2,2,1,2.0,1.0,349.0
199,9,1,1,2,2,2.0,1.0,327.0
200,9,2,1,1,1,1.0,1.0,390.0
201,9,2,2,2,1,2.0,1.0,322.0
202,9,2,1,1,1,1.0,1.0,636.0
203,9,1,1,1,1,1.0,1.0,391.0
204,9,2,2,2,1,2.0,1.0,365.0
205,9,2,2,2,1,2.0,1.0,331.0
206,9,1,1,1,1,1.0,1.0,300.0
207,9,2,2,1,2,1.0,1.0,337.0
208,9,1,2,2,1,2.0,1.0,340.0
209,9,1,1,1,1,1.0,1.0,305.0
210,9,1,1,2,2,2.0,1.0,294.0
211,9,1,2,1,2,1.0,1.0,308.0
212,9,2,2,1,2,1.0,1.0,368.0
213,9,2,1,2,2,2.0,1.0,332.0
214,9,2,1,1,1,1.0,1.0,373.0
215,9,2,1,2,2,2.0,1.0,293.0
216,9,1,2,1,2,1.0,1.0,335.0
217,10,2,1,1,1,1.0,1.0,353.0
218,10,1,1,2,2,2.0,1.0,312.0
219,10,1,1,1,1,1.0,1.0,289.0
220,10,2,2,1,2,1.0,1.0,274.0
221,10,2,1,2,2,2.0,1.0,564.0
222,10,2,1,1,1,1.0,1.0,320.0
223,10,2,2,2,1,2.0,1.0,322.0
224,10,2,1,2,2,2.0,1.0,412.0
225,10,1,2,1,2,1.0,1.0,386.0
226,10,1,2,2,1,2.0,1.0,339.0
227,10,2,2,2,1,2.0,1.0,979.0
228,10,1,1,1,1,1.0,1.0,328.0
229,10,2,2,1,2,1.0,1.0,579.0
230,10,1,1,2,2,2.0,1.0,279.0
231,10,1,2,2,1,2.0,1.0,330.0
232,10,1,2,2,1,2.0,1.0,324.0
233,10,2,2,1,2,1.0,1.0,282.0
234,10,1,1,1,1,1.0,1.0,330.0
235,10,1,2,1,2,1.0,1.0,337.0
236,10,1,1,2,2,2.0,1.0,332.0
237,10,1,2,1,2,1.0,1.0,354.0
238,10,2,1,2,2,2.0,1.0,277.0
239,10,2,2,2,1,2.0,1.0,369.0
240,10,2,1,1,1,1.0,1.0,324.0
